Station,Question_Number,SLO,Question_Type,Stem,Option_A,Option_B,Option_C,Option_D,Correct_Letter,Correct_Answer,Reference_Type,Reference_Label,Image_Represents_Question,Image_Redesign_Needed,Redesign_Notes,No_Model_Needed
"Station 01","1","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Station-linked identification or function","Which regional term matches the pointer numbered 1?","plantar","palmar","antebrachial","carpal","D","carpal","Station image reference (not displayed in student deck)","Label 1","Yes","No","","No"
"Station 01","2","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Station-linked identification or function","The line at label 2 ends in which anatomical region?","otic","nasal","buccal","orbital/optic/ocular","A","otic","Station image reference (not displayed in student deck)","Label 2","Yes","No","","No"
"Station 01","3","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Station-linked identification or function","Select the correct name for the body region indicated by 3.","sural","femoral","brachial","cephalic","D","cephalic","Station image reference (not displayed in student deck)","Label 3","Yes","No","","No"
"Station 01","4","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Station-linked identification or function","What regional descriptor belongs at the location marked 4?","crural","digital","patellar","tarsal","C","patellar","Station image reference (not displayed in student deck)","Label 4","Yes","No","","No"
"Station 02","5","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Station-linked identification or function","At this station, label 5 identifies the ____ region.","popliteal","femoral","gluteal","sacral","A","popliteal","Station image reference (not displayed in student deck)","Label 5","Yes","No","","No"
"Station 02","6","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Station-linked identification or function","Which regional term matches the pointer numbered 6?","mental","axillary","costal","frontal","A","mental","Station image reference (not displayed in student deck)","Label 6","Yes","No","","No"
"Station 02","7","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Station-linked identification or function","The line at label 7 ends in which anatomical region?","sternal","vertebral","cervical","occipital","A","sternal","Station image reference (not displayed in student deck)","Label 7","Yes","No","","No"
"Station 02","8","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Station-linked identification or function","Select the correct name for the body region indicated by 8.","antebrachial","brachial","antecubital","acromial","A","antebrachial","Station image reference (not displayed in student deck)","Label 8","Yes","No","","No"
"Station 03","9","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Station-linked identification or function","What regional descriptor belongs at the location marked 9?","sural","femoral","patellar","crural","D","crural","Station image reference (not displayed in student deck)","Label 9","Yes","No","","No"
"Station 03","10","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Station-linked identification or function","At this station, label 10 identifies the ____ region.","perineal","genital","inguinal","coxal","C","inguinal","Station image reference (not displayed in student deck)","Label 10","Yes","No","","No"
"Station 03","11","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Station-linked identification or function","Which regional term matches the pointer numbered 11?","carpal","pedal","tarsal","digital","D","digital","Station image reference (not displayed in student deck)","Label 11","Yes","No","","No"
