Station,Question_Number,SLO,Question_Type,Stem,Option_A,Option_B,Option_C,Option_D,Correct_Letter,Correct_Answer,Reference_Type,Reference_Label,Image_Represents_Question,Image_Redesign_Needed,Redesign_Notes,No_Model_Needed
"Station 01","1","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Direct identification","Using the Station 01 reference, identify the anatomical region indicated by label 1.","plantar","palmar","carpal","antebrachial","C","carpal","Labeled anatomical reference","Label 1","Yes","No","","No"
"Station 01","2","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Direct identification","Using the Station 01 reference, identify the anatomical region indicated by label 2.","otic","nasal","buccal","orbital/optic/ocular","A","otic","Labeled anatomical reference","Label 2","Yes","No","","No"
"Station 01","3","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Direct identification","Using the Station 01 reference, identify the anatomical region indicated by label 3.","cephalic","femoral","brachial","sural","A","cephalic","Labeled anatomical reference","Label 3","Yes","No","","No"
"Station 01","4","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Direct identification","Using the Station 01 reference, identify the anatomical region indicated by label 4.","crural","digital","tarsal","patellar","D","patellar","Labeled anatomical reference","Label 4","Yes","No","","No"
"Station 02","5","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Direct identification","Using the Station 02 reference, identify the anatomical region indicated by label 5.","femoral","popliteal","gluteal","sacral","B","popliteal","Labeled anatomical reference","Label 5","Yes","No","","No"
"Station 02","6","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Direct identification","Using the Station 02 reference, identify the anatomical region indicated by label 6.","frontal","axillary","costal","mental","D","mental","Labeled anatomical reference","Label 6","Yes","No","","No"
"Station 02","7","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Direct identification","Using the Station 02 reference, identify the anatomical region indicated by label 7.","sternal","vertebral","cervical","occipital","A","sternal","Labeled anatomical reference","Label 7","Yes","No","","No"
"Station 02","8","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Direct identification","Using the Station 02 reference, identify the anatomical region indicated by label 8.","brachial","antebrachial","antecubital","acromial","B","antebrachial","Labeled anatomical reference","Label 8","Yes","No","","No"
"Station 03","9","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Direct identification","Using the Station 03 reference, identify the anatomical region indicated by label 9.","sural","femoral","crural","patellar","C","crural","Labeled anatomical reference","Label 9","Yes","No","","No"
"Station 03","10","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Direct identification","Using the Station 03 reference, identify the anatomical region indicated by label 10.","inguinal","genital","perineal","coxal","A","inguinal","Labeled anatomical reference","Label 10","Yes","No","","No"
"Station 03","11","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Direct identification","Using the Station 03 reference, identify the anatomical region indicated by label 11.","carpal","digital","tarsal","pedal","B","digital","Labeled anatomical reference","Label 11","Yes","No","","No"
"Station 03","12","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Direct identification","Using the Station 03 reference, identify the anatomical region indicated by label 12.","frontal","cervical","cephalic","occipital","D","occipital","Labeled anatomical reference","Label 12","Yes","No","","No"
"Station 04","13","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Direct identification","Using the Station 04 reference, identify the anatomical region indicated by label 13.","carpal","digital","tarsal","pedal","C","tarsal","Labeled anatomical reference","Label 13","Yes","No","","No"
"Station 04","14","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Direct identification","Using the Station 04 reference, identify the anatomical region indicated by label 14.","lumbar","dorsal","sacral","vertebral","A","lumbar","Labeled anatomical reference","Label 14","Yes","No","","No"
