Estacion,Numero,Pregunta,Opciones,Respuesta Correcta (Letra),Respuesta Correcta (Nominal),Frecuencia de Respuesta
1,1,Which term describes the anatomical region of the wrist?,A. plantar; B. palmar; C. antebrachial; D. carpal,D,carpal,Única
1,2,What is the regional term for the anatomical location of the ear?,A. buccal; B. nasal; C. otic; D. orbital/optic/ocular,C,otic,Única
1,3,Which term refers to the anatomical structure located at the head region of the body?,A. cephalic; B. femoral; C. brachial; D. sural,A,cephalic,Única
1,4,Identify the anatomical term for the anterior surface of the knee.,A. crural; B. patellar; C. tarsal; D. digital,B,patellar,Única
2,5,Identify the anatomical term for the hollow at the back of the knee.,A. femoral; B. popliteal; C. gluteal; D. sacral,B,popliteal,Única
2,6,What is the regional term for the chin?,A. frontal; B. axillary; C. mental; D. costal,C,mental,Única
2,7,Which anatomical term refers to this region of the chest?,A. sternal; B. vertebral; C. cervical; D. occipital,A,sternal,Única
2,8,Which term describes the anatomical region of the forearm?,A. brachial; B. acromial; C. antecubital; D. antebrachial,D,antebrachial,Única
3,9,Which term describes the anatomical region of the leg?,A. sural; B. femoral; C. patellar; D. crural,D,crural,Única
3,10,Identify the anatomical term for the groin region.,A. genital; B. inguinal; C. perineal; D. coxal,B,inguinal,Única
3,11,Which term refers to the fingers and toes?,A. digital; B. carpal; C. tarsal; D. pedal,A,digital,Única
3,12,What is the regional term for the back of the head?,A. frontal; B. cervical; C. occipital; D. cephalic,C,occipital,Única
4,13,Identify the anatomical term for the ankle.,A. carpal; B. tarsal; C. digital; D. pedal,B,tarsal,Única
4,14,What is the regional term for the lower back?,A. sacral; B. dorsal; C. lumbar; D. vertebral,C,lumbar,Única
4,15,Which anatomical term refers to the cheek?,A. buccal; B. oral; C. nasal; D. mental,A,buccal,Única
5,16,Which body cavity houses the brain?,A. cranial cavity; B. thoracic cavity; C. nasal cavity; D. Oral cavity,A,cranial cavity,Única
5,17,Which cavity specifically houses the heart?,A. thoracic cavity; B. Ventral cavity; C. Dorsal cavity; D. pericardial cavity,D,pericardial cavity,Única
5,18,What is the specific cavity that surrounds each lung?,A. mediastinum; B. pericardial cavity; C. pleural cavity; D. Orbital/optic cavity,C,pleural cavity,Única
5,19,Identify the cavity that contains the spinal cord.,A. pericardial cavity; B. vertebral cavity; C. pleural cavity; D. abdominal cavity,B,vertebral cavity,Única
6,20,Identify the cavity that houses the bladder and reproductive organs.,A. thoracic cavity; B. pelvic cavity; C. mediastinum; D. abdominopelvic cavity,B,pelvic cavity,Única
6,21,What cavity is located superior on the head responsible for the olfaction special sense?,A. Ventral cavity; B. abdominal cavity; C. thoracic cavity; D. nasal cavity,D,nasal cavity,Única
6,22,Which cavity contains the stomach and liver?,A. abdominal cavity; B. pelvic cavity; C. cranial cavity; D. vertebral cavity,A,abdominal cavity,Única
7,23,Which quadrant typically contains the appendix?,A. left upper; B. left lower; C. right lower; D. right upper,C,right lower,Única
7,24,Identify the quadrant where the descending colon and sigmoid colon are primarily located.,A. right upper; B. left lower; C. right lower; D. left upper,B,left lower,Única
7,25,Which abdominopelvic quadrant contains the liver and gallbladder?,A. right upper; B. left upper; C. right lower; D. left lower,A,right upper,Única
7,26,Which abdominal quadrant houses the stomach and spleen?,A. right upper; B. left lower; C. right lower; D. left upper,D,left upper,Única
8,27,Identify this abdominal region:,A. left iliac/inguinal; B. right lumbar/lateral; C. left lumbar/lateral; D. right iliac/inguinal,?,[Imagen no disponible en el archivo],Sin determinar
8,28,Which abdominopelvic region is located immediately superior to the umbilicus?,A. epigastric; B. hypogastric/pubic; C. right hypochondriac; D. left hypochondriac,A,epigastric,Única
8,29,Which region is located inferior to the umbilical region?,A. umbilical; B. epigastric; C. Hypogastric/pubic; D. right hypochondriac,C,hypogastric/pubilc,Única
9,30,Identify this anatomical region.,A. epigastric; B. Hypogastric/pubic; C. umbilical; D. right iliac/inguinal,?,[Imagen no disponible en el archivo],Sin determinar
9,31,Identify this anatomical region.,A. right hypochondriac; B. left hypochondriac; C. left lumbar/lateral; D. right lumbar/lateral,?,[Imagen no disponible en el archivo],Sin determinar
9,32,Identify this anatomical region.,A. left lumbar/lateral; B. right iliac/inguinal; C. left iliac/inguinal; D. right lumbar/lateral,?,[Imagen no disponible en el archivo],Sin determinar
10,33,The mid-sagittal plane…,A. divides the body exactly into equal right and left halves.; B. divides the body in superior and inferior; C. divides the body in anterior and posterior; D. divides a cylindrical organ horizontally.,A,divides the body exactly into equal right and left halves,Única
10,34,Identify the plane that divides the body into anterior and posterior portions.,A. midsagittal plane; B. frontal (coronal) plane; C. parasagittal plane; D. oblique section,B,frontal (coronal) plane,Única
10,35,Which plane divides the body into right and left portions?,A. parasagittal plane; B. frontal (coronal) plane; C. transverse (horizontal); D. cross section,A,parasagittal plane,Repetida (2 veces)
10,36,What plane divides the body into superior and inferior portions?,A. longitudinal section; B. cross section; C. transverse (horizontal); D. frontal (coronal) plane,C,transverse (horizontal),Única
11,37,Identify the term for a cut made perpendicular to the long axis of an organ.,A. longitudinal section; B. cross section; C. oblique section; D. frontal (coronal) plane,B,cross section,Única
11,38,What type of section is cut along the long axis of an organ?,A. cross section; B. transverse (horizontal); C. longitudinal section; D. sagittal (median) plane,C,longitudinal section,Única
11,39,Which plane divides the body into unequal right and left portions?,A. parasagittal plane; B. midsagittal plane; C. sagittal (median) plane; D. transverse (horizontal),A,parasagittal plane,Repetida (2 veces)
12,40,Which term describes the measure of hydrogen ion concentration in a solution?,A. pH; B. Acid; C. Base; D. Electrolytes,A,pH,Única
12,41,Identify the substance that releases hydrogen ions into a solution.,A. Base; B. Acid; C. Buffer; D. Ions,B,Acid,Única
12,42,"What substance accepts hydrogen ions, thereby lowering the acidity of a solution?",A. Acid; B. pH; C. Ions; D. Base,D,Base,Repetida (2 veces)
13,43,Charged particles formed when electrolytes dissociate are known as what?,A. Buffer; B. pH; C. Acid; D. Ions,D,Ions,Única
13,44,"What is the term for substances that dissociate in water to form ions, thereby conducting electricity?",A. pH; B. Base; C. Electrolytes; D. Buffer,C,Electrolytes,Única
13,45,Which substance helps maintain a stable pH in the body by neutralizing excess acids or bases?,A. Buffer; B. Ions; C. Electrolytes; D. Acid,A,Buffer,Única
14,46,Identify the lenses attached to the revolving nosepiece that provide different magnifications of the specimen.,"A. eyepiece (ocular lens); B. objective lenses (scan, low, high); C. cover slip; D. mechanical stage",B,"objective lenses (scan, low, high)",Única
14,47,Which knob is used for precise focusing of the specimen under high magnification?,A. coarse adjustment knob; B. substage disc; C. fine adjustment knob; D. base,C,fine adjustment knob,Única
14,48,What part holds the microscopic slide and allows for smooth movement of the specimen?,A. stage; B. body; C. arm; D. mechanical stage,D,mechanical stage,Única
14,49,Which part of the microscope is used to view the specimen and is located at the top of the body tube?,"A. eyepiece (ocular lens); B. objective lenses (scan, low, high); C. stage; D. substage lamp",A,eyepiece (ocular lens),Única
15,50,What component provides the light source needed to illuminate the specimen?,"A. eyepiece (ocular lens); B. objective lenses (scan, low, high); C. cover slip; D. substage lamp",D,substage lamp,Única
15,51,Which part provides support for the microscope and rests on the table?,A. arm; B. base; C. body; D. stage,B,base,Repetida (2 veces)
15,52,Identify the rotating part of the microscope that holds the objective lenses.,A. mechanical stage; B. substage disc; C. nosepiece; D. fine adjustment knob,C,nosepiece,Única
16,53,Identify the term for the ability of a microscope to distinguish two closely positioned objects as separate.,A. total magnification; B. resolution; C. base; D. coarse adjustment knob,B,resolution,Única
16,54,"Which term describes the final enlargement of an object, calculated by multiplying the eyepiece and objective lens powers?",A. total magnification; B. resolution; C. stage; D. nosepiece,A,total magnification,Única
16,55,What is the flat glass plate on which the specimen is placed for viewing?,A. cover slip; B. stage; C. microscopic slide; D. body,C,microscopic slide,Única
17,56,Which organelle is responsible for producing ATP through cellular respiration?,A. endoplasmic reticulum; B. ribosome; C. mitochondria; D. peroxisome,C,mitochondria,Única
17,57,Which organelle forms the outer boundary of the cell and regulates what enters and exits?,A. cell membrane; B. nucleus; C. cytoplasm; D. lysosome,A,cell membrane,Única
17,58,Identify the organelle that contains the cell's genetic material and controls cellular activities.,A. nucleolus; B. nucleus; C. mitochondria; D. Golgi apparatus,B,nucleus,Única
17,59,"What organelle modifies, sorts, and packages proteins for secretion?",A. lysosome; B. centrosome / centriole; C. cell membrane; D. Golgi apparatus,D,Golgi apparatus,Única
